iteration,name,hypothesis,delta,dte,profit_target_pct,stop_loss_mult,allocation_pct,buying_enabled,cagr_pct,total_return_pct,sharpe_ratio,sortino_ratio,max_drawdown_pct,win_rate_pct,profit_factor,total_trades,final_equity,duration_sec
1,"Iter 01: Baseline Tastytrade (45 DTE, 50% PT, 2.0x SL)",Standard 45 DTE tastytrade benchmark mechanics,0.16,45,50,2.0,15,False,20.7,244.1,0.7,0.43,36.4,76.3,1.18,903,86022.71,4.11
2,Iter 02: Quick Scalp Take-Profit (30% PT),Locking early 30% credit reduces exposure time,0.16,45,30,2.0,15,False,15.43,156.6,0.51,0.32,50.8,81.3,1.09,1337,64158.84,4.21
3,Iter 03: Moderate Take-Profit (40% PT),40% target captures rapid initial theta burn,0.16,45,40,2.0,15,False,18.6,206.7,0.62,0.39,36.4,78.6,1.13,1106,76671.18,4.36
4,Iter 04: Patient Extinction (60% PT),Holding for 60% profit increases dollar return per trade,0.16,45,60,2.0,15,False,22.28,274.8,0.75,0.47,36.8,74.0,1.2,799,93695.75,4.04
5,Iter 05: Maximum Decay Squeeze (75% PT),Holding deep into expiration tests gamma risk vs premium,0.16,45,75,2.0,15,False,22.93,288.1,0.8,0.49,34.8,71.0,1.24,639,97030.77,3.77
6,Iter 06: Aggressive Stop Loss (1.5x Credit),Cutting losses at 1.5x prevents large single tail loss,0.16,45,50,1.5,15,False,11.58,105.4,0.39,0.28,36.9,64.0,1.08,1135,51352.29,3.81
7,Iter 07: Wide Stop Loss Buffer (2.5x Credit),Giving trades breathing room to avoid whipsaws,0.16,45,50,2.5,15,False,30.75,482.0,1.0,0.51,36.3,82.7,1.3,817,145493.61,3.89
8,Iter 08: Ultra-Wide Tolerance (3.0x Credit),3.0x stop loss tests win rate preservation vs tail pain,0.16,45,50,3.0,15,False,32.35,530.3,1.04,0.48,41.0,86.1,1.33,769,157568.11,3.88
9,Iter 09: Optimal Gamma/Theta Window (28 DTE),28 DTE enters the steepest curvature of theta decay,0.16,28,50,2.0,15,False,41.1,859.5,1.24,0.83,30.6,76.9,1.25,1255,239872.13,3.93
10,Iter 10: High-Gamma Sprint (21 DTE),21 DTE maximizes turnover with higher gamma risk,0.16,21,50,2.0,15,False,52.32,1486.0,1.42,0.96,34.2,77.4,1.36,1497,396509.6,4.02
11,Iter 11: Low-Gamma Float (60 DTE),60 DTE minimizes gamma volatility but slows portfolio velocity,0.16,60,50,2.0,15,False,7.54,61.2,0.24,0.14,38.3,74.4,1.08,770,40302.3,4.13
12,Iter 12: High-Margin Ultra-OTM (Delta 0.12),Delta 0.12 provides >88% theoretical probability buffer,0.12,28,50,2.0,15,False,41.1,859.5,1.24,0.83,30.6,76.9,1.25,1255,239872.13,4.93
13,Iter 13: High-Yield Near-the-Money (Delta 0.22),Delta 0.22 extracts higher absolute dollar credits,0.22,28,50,2.0,15,False,41.1,859.5,1.24,0.83,30.6,76.9,1.25,1255,239872.13,5.32
14,Iter 14: Hybrid Selling + Convex Debit Spreads,Adds long debit spreads when IV rank is low to capture convexity,0.16,28,50,2.0,15,True,64.55,2534.0,1.35,1.21,42.8,69.7,1.36,1379,658495.82,6.4
15,Iter 15: High-IV Threshold Sieve (IVR >= 28%),Only sells premium when volatility is rich (>28th percentile),0.16,28,50,2.0,15,True,68.97,3035.8,1.37,1.26,43.9,67.7,1.42,1294,783941.22,5.73
16,Iter 16: Defensive Sizing (10% Allocation / Trade),Quarter-Kelly conservative capital deployment,0.16,28,50,2.0,10,True,60.88,2171.1,1.42,1.38,34.7,69.7,1.33,1379,567785.23,6.03
17,Iter 17: Balanced Sizing (18% Allocation / Trade),Half-Kelly allocation to compound capital steadily,0.16,28,50,2.0,18,True,64.37,2515.2,1.24,1.08,48.5,69.4,1.35,1350,653800.99,4.57
18,Iter 18: Aggressive Growth Sizing (25% Allocation / Trade),Higher capital utilization for maximum CAGR,0.16,28,50,2.0,25,True,64.49,2528.5,1.16,1.02,48.1,68.6,1.35,1285,657129.86,4.61
19,Iter 19: High-Conviction Sieve (IVR >= 25% + 20% Alloc),Combined sweet-spot of IV filter and balanced position sizing,0.16,28,50,2.0,20,True,66.47,2742.6,1.27,1.1,46.5,67.4,1.37,1278,710654.81,4.52
20,Iter 20: Institutional Master Model (Champion 22% Alloc),Full institutional production setup with optimal velocity and risk parity,0.16,28,50,2.0,22,True,65.07,2589.0,1.17,1.07,52.2,68.9,1.36,1291,672254.97,4.55
21,Iter 21: Asymmetric Long Target Extension (120% Long PT),Extending long debit profit target to 120% on breakout regimes,0.16,28,50,2.0,22,True,64.52,2531.3,1.23,1.14,50.9,68.6,1.35,1263,657838.54,4.51
