trade_id,symbol,strategy,action,entry_date,exit_date,holding_days,entry_spot,exit_spot,contracts,entry_price,pnl_dollar,pnl_pct,close_reason
3,TSLA,BULL_PUT_SPREAD,SELL_CREDIT,2020-02-14,2020-02-18,4,53.33533477783203,57.22666549682617,14,0.28823373858204315,217.86,3.3,PROFIT_TARGET_50%
2,QQQ,BULL_PUT_SPREAD,SELL_CREDIT,2020-02-14,2020-02-19,5,225.87884521484372,228.13150024414065,15,0.3599444481528593,314.51,4.52,PROFIT_TARGET_50%
1,SPY,BULL_PUT_SPREAD,SELL_CREDIT,2020-02-14,2020-02-21,7,307.7289428710937,303.9735717773437,7,0.4509406438965162,-406.97,-6.09,STOP_LOSS
5,QQQ,BULL_PUT_SPREAD,SELL_CREDIT,2020-02-19,2020-02-21,2,228.13150024414065,221.67202758789065,16,0.5939506401744481,-1654.97,-23.48,STOP_LOSS
6,SPY,BULL_PUT_SPREAD,SELL_CREDIT,2020-02-21,2020-02-24,3,303.9735717773437,293.89215087890625,7,0.6933168342581544,-1634.56,-25.09,STOP_LOSS
7,QQQ,BULL_PUT_SPREAD,SELL_CREDIT,2020-02-21,2020-02-24,3,221.67202758789065,213.1236114501953,14,0.3758116958889772,-1758.74,-27.17,STOP_LOSS
8,SPY,BEAR_CALL_SPREAD,SELL_CREDIT,2020-02-24,2020-02-25,1,293.89215087890625,284.9865417480469,6,0.967576969272887,267.99,4.94,PROFIT_TARGET_50%
4,TSLA,BULL_PUT_SPREAD,SELL_CREDIT,2020-02-18,2020-02-27,9,57.22666549682617,45.26666641235352,15,0.4741896071813725,-1368.0,-20.15,STOP_LOSS
9,QQQ,BEAR_CALL_SPREAD,SELL_CREDIT,2020-02-24,2020-02-27,3,213.1236114501953,197.96163940429688,13,0.7935133725545285,575.93,10.53,PROFIT_TARGET_50%
12,AAPL,BEAR_CALL_SPREAD,SELL_CREDIT,2020-02-27,2020-03-02,4,65.97177124023438,72.07160186767578,12,0.553394140594369,-946.16,-17.73,STOP_LOSS
10,SPY,BEAR_CALL_SPREAD,SELL_CREDIT,2020-02-25,2020-03-03,7,284.9865417480469,273.674560546875,6,1.2228313070142072,376.53,7.15,PROFIT_TARGET_50%
11,QQQ,BEAR_CALL_SPREAD,SELL_CREDIT,2020-02-27,2020-03-04,6,197.96163940429688,210.07196044921875,12,0.5914931002408181,-781.15,-14.77,STOP_LOSS
15,QQQ,BEAR_CALL_SPREAD,SELL_CREDIT,2020-03-04,2020-03-06,2,210.07196044921875,200.2528533935547,11,0.7379487064275025,408.76,8.72,PROFIT_TARGET_50%
13,AAPL,BEAR_CALL_SPREAD,SELL_CREDIT,2020-03-02,2020-03-09,7,72.07160186767578,64.19901275634766,12,0.7420699901467742,567.58,11.11,PROFIT_TARGET_50%
14,SPY,BEAR_CALL_SPREAD,SELL_CREDIT,2020-03-03,2020-03-09,6,273.674560546875,249.96597290039065,6,1.2318859272373395,453.01,8.61,PROFIT_TARGET_50%
16,QQQ,BEAR_CALL_SPREAD,SELL_CREDIT,2020-03-06,2020-03-09,3,200.2528533935547,186.34234619140625,11,0.5638642353547034,285.21,5.84,PROFIT_TARGET_50%
17,SPY,BEAR_CALL_SPREAD,SELL_CREDIT,2020-03-09,2020-03-12,3,249.96597290039065,226.15707397460935,13,0.7325230470250048,410.53,7.4,PROFIT_TARGET_50%
18,QQQ,BEAR_CALL_SPREAD,SELL_CREDIT,2020-03-09,2020-03-16,7,186.34234619140625,162.97853088378906,12,0.6190733830908286,454.25,8.64,PROFIT_TARGET_50%
19,AAPL,BEAR_CALL_SPREAD,SELL_CREDIT,2020-03-09,2020-03-19,10,64.19901275634766,59.03982162475586,12,0.7081326316384295,437.15,8.49,PROFIT_TARGET_50%
20,SPY,BEAR_CALL_SPREAD,SELL_CREDIT,2020-03-12,2020-03-20,8,226.15707397460935,209.78201293945312,13,0.7387410339962344,614.65,11.1,PROFIT_TARGET_50%
22,AAPL,BEAR_CALL_SPREAD,SELL_CREDIT,2020-03-19,2020-03-23,4,59.03982162475586,54.117034912109375,13,0.57339154864039,427.87,7.44,PROFIT_TARGET_50%
